FECHA,Symbol,rv5_ss,bv,rv10,bv_ss,rv5,rk_parzen,rk_th2,open_time,close_time,open_to_close,rsv_ss,rk_twoscale,rsv,close_price,rv10_ss,medrv,open_price,nobs,Retornos
2010-04-21,.N225,1.76E-05,1.79E-05,1.60E-05,1.79E-05,0.00176%,1.38E-05,1.99E-05,100015,160001,0.005267205,6.37E-06,1.97E-05,6.37E-06,11090.05,1.60E-05,6.26E-06,11031.79,2156,0.017223137
2010-04-22,.N225,4.18E-05,2.68E-05,4.59E-05,2.68E-05,0.00418%,7.78E-05,4.04E-05,100015,160001,-0.003548331,2.73E-05,3.98E-05,2.73E-05,10949.09,4.59E-05,8.10E-06,10988.01,2156,-0.012791962
2010-04-23,.N225,5.19E-05,3.92E-05,5.17E-05,3.92E-05,0.00519%,3.63E-05,5.01E-05,100015,160002,-0.001505125,2.76E-05,4.94E-05,2.76E-05,10914.46,5.17E-05,9.33E-06,10930.9,2156,-0.003167832
2010-04-26,.N225,2.41E-05,2.07E-05,2.90E-05,2.07E-05,0.00241%,5.29E-05,2.55E-05,100015,160002,0.011366737,5.09E-06,2.42E-05,5.09E-06,11165.79,2.90E-05,3.61E-06,11039.59,2157,0.022766124
2010-04-27,.N225,2.62E-05,2.63E-05,3.79E-05,2.63E-05,0.00262%,3.45E-05,2.38E-05,100015,160001,0.009264502,7.67E-06,2.29E-05,7.67E-06,11212.66,3.79E-05,8.98E-06,11109.26,2156,0.004188857
2010-04-28,.N225,0.000121631,4.44E-05,9.21E-05,4.44E-05,0.01216%,0.000102047,0.000103967,100015,160002,-0.007361538,9.63E-05,0.000103795,9.63E-05,10924.79,9.21E-05,6.08E-06,11005.51,2156,-0.026008978
2010-04-30,.N225,1.93E-05,1.46E-05,1.68E-05,1.46E-05,0.00193%,1.65E-05,1.99E-05,100015,160001,-0.000426772,8.56E-06,1.98E-05,8.56E-06,11057.4,1.68E-05,3.76E-06,11062.12,2156,0.012065368
2010-05-06,.N225,0.000163711,2.42E-05,0.000167576,2.42E-05,0.01637%,0.000159975,0.00011437,100015,160002,-0.014130656,0.000150499,0.000114715,0.000150499,10695.69,0.000167576,4.70E-06,10847.9,2157,-0.033259031
2010-05-07,.N225,0.000330433,0.00016981,0.000477602,0.00016981,0.03304%,0.000509568,0.000313925,100015,160001,-0.010376682,0.000247901,0.000313914,0.000247901,10364.59,0.000477602,1.10E-05,10472.7,2156,-0.031445668
2010-05-10,.N225,7.68E-05,8.04E-05,6.30E-05,8.04E-05,0.00768%,6.55E-05,9.10E-05,100015,160002,0.012580345,2.24E-05,8.94E-05,2.24E-05,10530.7,6.30E-05,3.08E-05,10399.05,2156,0.015899612
2010-05-11,.N225,9.60E-05,8.40E-05,7.73E-05,8.40E-05,0.00960%,0.000127554,9.62E-05,100015,160002,-0.022052404,7.47E-05,9.35E-05,7.47E-05,10411.1,7.73E-05,3.46E-05,10643.24,2156,-0.011422256
2010-05-12,.N225,8.28E-05,8.50E-05,9.70E-05,8.50E-05,0.00828%,7.37E-05,0.000114628,100015,160002,-0.00680762,5.27E-05,0.000112915,5.27E-05,10394.03,9.70E-05,3.52E-05,10465.03,2156,-0.001640942
2010-05-13,.N225,3.39E-05,3.19E-05,1.88E-05,3.19E-05,0.00339%,2.72E-05,4.40E-05,100015,160003,0.007350487,1.06E-05,4.39E-05,1.06E-05,10620.55,1.88E-05,8.57E-06,10542.77,2157,0.021559201
2010-05-14,.N225,8.80E-05,7.63E-05,8.87E-05,7.63E-05,0.00880%,0.000118343,7.30E-05,100015,160002,0.000871107,5.24E-05,7.09E-05,5.24E-05,10462.51,8.87E-05,3.15E-05,10453.4,2158,-0.014992412
2010-05-17,.N225,8.56E-05,8.09E-05,7.21E-05,8.09E-05,0.00856%,0.000115995,9.85E-05,100015,160002,-0.009103822,5.12E-05,9.69E-05,5.12E-05,10235.76,7.21E-05,3.14E-05,10329.37,2156,-0.02191092
2010-05-18,.N225,5.30E-05,4.46E-05,5.42E-05,4.46E-05,0.00530%,5.92E-05,6.00E-05,100015,160002,-0.006859411,3.08E-05,5.79E-05,3.08E-05,10242.64,5.42E-05,1.19E-05,10313.14,2156,0.000671928
2010-05-19,.N225,9.11E-05,8.28E-05,0.000117373,8.28E-05,0.00911%,9.92E-05,8.75E-05,100015,160001,0.00981651,3.50E-05,8.45E-05,3.50E-05,10186.84,0.000117373,2.33E-05,10087.33,2156,-0.005462708
2010-05-20,.N225,7.96E-05,8.27E-05,7.24E-05,8.27E-05,0.00796%,6.23E-05,7.69E-05,100015,160001,-0.009084945,5.24E-05,7.55E-05,5.24E-05,10030.31,7.24E-05,3.45E-05,10121.85,2158,-0.015485182
2010-05-21,.N225,0.00016306,0.000112268,0.000150051,0.000112268,0.01631%,0.000133268,0.000180125,100015,160002,-0.004008496,0.000104484,0.000177899,0.000104484,9784.54,0.000150051,3.87E-05,9823.84,2158,-0.02480792
2010-05-24,.N225,9.09E-05,8.79E-05,7.83E-05,8.79E-05,0.00909%,4.17E-05,9.75E-05,100015,160002,0.000349504,5.12E-05,9.47E-05,5.12E-05,9758.4,7.83E-05,3.87E-05,9754.99,2156,-0.002675136
2010-05-25,.N225,9.34E-05,5.91E-05,7.19E-05,5.91E-05,0.00934%,0.000140167,0.000120582,100015,160002,-0.018044668,6.94E-05,0.000118063,6.94E-05,9459.89,7.19E-05,1.29E-05,9632.14,2156,-0.031067697
2010-05-26,.N225,0.000188688,0.000134125,0.00016866,0.000134125,0.01887%,9.65E-05,0.000127489,100015,160001,-0.004682039,9.51E-05,0.000125153,9.51E-05,9522.66,0.00016866,4.95E-05,9567.35,2156,0.006613466
2010-05-27,.N225,0.000277596,0.000177184,0.000210388,0.000177184,0.02776%,0.000115557,0.000236532,100015,160002,0.023131287,5.43E-05,0.000234347,5.43E-05,9639.72,0.000210388,7.31E-05,9419.3,2158,0.012217841
2010-05-28,.N225,7.92E-05,7.90E-05,8.08E-05,7.90E-05,0.00792%,7.04E-05,0.0001177,100015,160002,-0.00440288,4.10E-05,0.000113944,4.10E-05,9762.98,8.08E-05,2.30E-05,9806.06,2158,0.012705619
2010-05-31,.N225,7.40E-05,5.37E-05,8.34E-05,5.37E-05,0.00740%,5.21E-05,8.54E-05,100015,160002,0.00340748,3.25E-05,8.40E-05,3.25E-05,9768.7,8.34E-05,2.09E-05,9735.47,2156,0.000585715
2010-06-01,.N225,7.07E-05,5.87E-05,3.78E-05,5.87E-05,0.00707%,2.95E-05,0.000110094,100015,160001,-0.00364149,4.38E-05,0.000109596,4.38E-05,9711.83,3.78E-05,2.78E-05,9747.26,2156,-0.005838667
2010-06-02,.N225,0.000151613,0.000132521,0.000152753,0.000132521,0.01516%,0.000232424,0.000147301,100015,160001,-0.000125991,7.12E-05,0.000142002,7.12E-05,9603.24,0.000152753,3.30E-05,9604.45,2156,-0.011244189
2010-06-03,.N225,7.57E-05,5.89E-05,8.20E-05,5.89E-05,0.00757%,7.33E-05,7.81E-05,100015,160002,0.015795573,1.97E-05,7.69E-05,1.97E-05,9914.19,8.20E-05,1.45E-05,9758.82,2158,0.031866523
2010-06-04,.N225,7.79E-05,5.39E-05,5.66E-05,5.39E-05,0.00779%,3.63E-05,7.85E-05,100015,160001,-0.000812703,4.75E-05,7.74E-05,4.75E-05,9901.19,5.66E-05,2.01E-05,9909.24,2156,-0.001312112
