DATE,Symbol,close_price,Retornos,Retornos_2,Weights,EWMA,
20/01/2016,.OMXHPI,7856,-0.027024599,0,0,0,
21/01/2016,.OMXHPI,7972.03,0.014661594,0,0,0,
22/01/2016,.OMXHPI,8195.95,0.027700964,0,0,0,
25/01/2016,.OMXHPI,8167.54,-0.003472368,0,0,0,
26/01/2016,.OMXHPI,8286.61,0.014473197,0,0,0,
27/01/2016,.OMXHPI,8287.53,0.000111016,0,0,0,
28/01/2016,.OMXHPI,8193.08,-0.01146208,0,0,0,
29/01/2016,.OMXHPI,8326.42,0.016143696,0,0,0,
1/2/2016,.OMXHPI,8141.67,-0.022438273,0,0,0,
2/2/2016,.OMXHPI,8042.04,-0.012312536,0,0,0,
3/2/2016,.OMXHPI,7895.78,-0.018354343,0,0,0,
4/2/2016,.OMXHPI,7879.74,-0.002033531,0,0,0,
5/2/2016,.OMXHPI,7835.79,-0.005593208,0,0,0,
8/2/2016,.OMXHPI,7559.01,-0.035961471,0,0,0,
9/2/2016,.OMXHPI,7451.34,-0.014346347,0,0,0,
10/2/2016,.OMXHPI,7519.64,0.009124382,0,0,0,
11/2/2016,.OMXHPI,7282.86,-0.031994622,0,0,0,
12/2/2016,.OMXHPI,7369.63,0.011843859,0,0,0,
15/02/2016,.OMXHPI,7568.92,0.026682887,0,0,0,
16/02/2016,.OMXHPI,7549.9,-0.002516071,0,0,0,
17/02/2016,.OMXHPI,7766.31,0.02826083,0,0,0,
18/02/2016,.OMXHPI,7857.59,0.011684796,0,0,0,
19/02/2016,.OMXHPI,7775.83,-0.010459739,0,0,0,
22/02/2016,.OMXHPI,7988.74,0.027012845,0,0,0,
23/02/2016,.OMXHPI,7897.54,-0.011481732,0,0,0,
24/02/2016,.OMXHPI,7741.09,-0.020008814,0,0,0,
25/02/2016,.OMXHPI,7864.27,0.015787211,0,0,0,
26/02/2016,.OMXHPI,7914.03,0.006307418,0,0,0,
29/02/2016,.OMXHPI,7924.97,0.001381401,0,0,0,
1/3/2016,.OMXHPI,8049.46,0.015586474,0,0,0,
2/3/2016,.OMXHPI,8005.39,-0.005489944,0,0,0,
3/3/2016,.OMXHPI,8018.03,0.001577691,0,0,0,
4/3/2016,.OMXHPI,8058.19,0.00499621,0,0,0,
7/3/2016,.OMXHPI,8048.83,-0.001162226,0,0,0,
